日期,电影名称,上映时间,票房,场均人次,上座率,排片率,场次,票房数
2025-03-08,唐探1900,上映39天,34.76亿,13.2,13.3%,6.0%,27413,1508.04
2025-03-08,天堂旅行团,上映首日,1351.2万,7.8,7.5%,9.7%,44103,1351.18
2025-03-08,还有明天,上映首日,1231.2万,8.1,8.3%,6.5%,29405,931.73
2025-03-08,想飞的女孩,上映首日,943.2万,5.3,5.5%,9.5%,42961,923.73
2025-03-08,平原上的火焰,上映首日,799.1万,5.2,5.2%,9.4%,42540,787.40
2025-03-09,哪吒之魔童闹海,上映40天,146.60亿,10.5,7.0%,39.2%,166815,7601.10
2025-03-09,唐探1900,上映40天,34.85亿,6.4,6.4%,8.0%,34206,920.96
2025-03-09,天堂旅行团,上映2天,2079.8万,4.2,4.0%,10.3%,43787,728.62
2025-03-09,还有明天,上映2天,1664.5万,4.9,4.8%,5.2%,22223,433.25
2025-03-09,平原上的火焰,上映2天,1163.1万,3.2,3.2%,7.3%,31230,364.04
2025-03-09,想飞的女孩,上映2天,1260.8万,2.6,2.6%,6.4%,27419,317.55
2025-03-10,哪吒之魔童闹海,上映41天,146.75亿,2.5,1.6%,38.8%,141777,1558.57
2025-03-10,唐探1900,上映41天,34.89亿,2.2,2.2%,9.4%,34545,328.77
2025-03-10,天堂旅行团,上映3天,2378.5万,1.8,1.7%,11.2%,41108,298.67
2025-03-10,还有明天,上映3天,1841.0万,2.3,2.2%,5.4%,19746,176.52
2025-03-10,您的声音,上映21天,6692.3万,26.8,30.3%,0.3%,1133,134.05
2025-03-10,平原上的火焰,上映3天,1294.4万,1.4,1.3%,7.4%,27039,131.22
2025-03-11,哪吒之魔童闹海,上映42天,146.89亿,2.3,1.5%,38.4%,139225,1419.72
2025-03-11,唐探1900,上映42天,34.92亿,2.1,2.0%,9.7%,35319,316.75
2025-03-11,天堂旅行团,上映4天,2679.9万,1.9,1.8%,11.2%,40732,301.43
2025-03-11,还有明天,上映4天,2009.6万,2.2,2.1%,5.4%,19671,168.54
2025-03-11,您的声音,上映22天,6852.7万,32.5,37.8%,0.3%,1172,160.42
2025-03-11,平原上的火焰,上映4天,1410.9万,1.3,1.3%,7.1%,25900,116.56
2025-03-12,哪吒之魔童闹海,上映43天,147.03亿,2.1,1.4%,38.1%,137028,1320.08
2025-03-12,唐探1900,上映43天,34.95亿,2.1,2.0%,10.0%,35960,317.76
2025-03-12,天堂旅行团,上映5天,2961.7万,1.8,1.7%,11.3%,40719,281.76
2025-03-12,您的声音,上映23天,7040.1万,36.3,41.4%,0.3%,1218,187.37
2025-03-12,还有明天,上映5天,2171.1万,2.1,2.0%,5.4%,19663,161.57
2025-03-12,平原上的火焰,上映5天,1520.0万,1.2,1.2%,7.0%,25340,109.03
2025-03-13,哪吒之魔童闹海,上映44天,147.15亿,1.9,1.3%,37.8%,136221,1192.24
2025-03-13,唐探1900,上映44天,34.98亿,1.9,1.8%,10.3%,37042,301.73
2025-03-13,天堂旅行团,上映6天,3212.7万,1.6,1.5%,11.4%,41044,251.04
2025-03-13,您的声音,上映24天,7225.9万,36.1,40.9%,0.3%,1216,185.81
2025-03-13,还有明天,上映6天,2327.7万,2.0,1.9%,5.4%,19698,156.55
2025-03-13,平原上的火焰,上映6天,1615.4万,1.1,1.0%,6.9%,25135,95.44
2025-03-14,哪吒之魔童闹海,上映45天,147.38亿,4.1,2.7%,35.9%,133213,2385.66
2025-03-14,疾速追杀4,上映首日,558.5万,5.3,4.3%,6.8%,25320,555.41
2025-03-14,唐探1900,上映45天,35.02亿,2.8,2.6%,9.4%,35050,402.49
2025-03-14,天堂旅行团,上映7天,3553.4万,2.5,2.4%,9.3%,34662,340.72
2025-03-14,您的声音,上映25天,7431.6万,40.3,47.6%,0.3%,1214,205.66
2025-03-14,还有明天,上映7天,2508.6万,2.9,2.7%,4.2%,15787,180.87
2025-03-15,哪吒之魔童闹海,上映46天,148.12亿,11.8,7.8%,33.4%,143149,7312.61
2025-03-15,疾速追杀4,上映2天,1662.8万,4.4,3.7%,14.2%,61078,1104.27
2025-03-15,唐探1900,上映46天,35.12亿,7.6,7.5%,7.1%,30531,970.97
2025-03-15,天堂旅行团,上映8天,4266.4万,7.0,7.0%,6.0%,25864,712.94
2025-03-15,真爱营业,上映首日,412.4万,2.5,2.7%,9.1%,39314,340.44
2025-03-15,还有明天,上映8天,2836.7万,7.6,7.4%,2.5%,10762,328.12
2025-03-16,哪吒之魔童闹海,上映47天,148.63亿,8.1,5.4%,36.2%,145895,5137.45
2025-03-16,唐探1900,上映47天,35.19亿,5.1,5.0%,8.9%,36001,776.59
2025-03-16,疾速追杀4,上映3天,2372.1万,4.0,3.2%,10.7%,43230,709.31
2025-03-16,天堂旅行团,上映9天,4796.6万,4.1,4.1%,8.0%,32320,530.19
2025-03-16,还有明天,上映9天,3117.8万,5.1,5.0%,3.3%,13640,281.08
2025-03-16,熊出没·重启未来,上映47天,7.94亿,4.7,5.0%,3.7%,14906,276.15
2025-03-17,哪吒之魔童闹海,上映48天,148.73亿,1.8,1.2%,35.8%,123158,1016.55
2025-03-17,疾速追杀4,上映4天,2633.9万,1.8,1.4%,10.5%,36320,261.81
2025-03-17,唐探1900,上映48天,35.22亿,1.8,1.7%,10.0%,34636,260.33
2025-03-17,天堂旅行团,上映10天,4975.2万,1.4,1.3%,9.5%,32825,178.59
2025-03-17,还有明天,上映10天,3211.4万,1.7,1.6%,4.0%,13943,93.60
2025-03-17,真爱营业,上映3天,706.4万,1.1,1.1%,5.8%,20187,75.22
2025-03-18,哪吒之魔童闹海,上映49天,148.82亿,1.7,1.1%,35.7%,121706,918.02
2025-03-18,唐探1900,上映49天,35.24亿,1.7,1.6%,10.3%,35318,245.88
2025-03-18,疾速追杀4,上映5天,2852.5万,1.6,1.2%,10.3%,35087,218.54
2025-03-18,天堂旅行团,上映11天,5137.8万,1.2,1.2%,9.8%,33407,162.65
2025-03-18,还有明天,上映11天,3298.6万,1.6,1.5%,4.1%,14052,87.20
2025-03-18,真爱营业,上映4天,772.6万,1.0,1.0%,5.6%,19345,66.21
2025-03-19,哪吒之魔童闹海,上映50天,148.91亿,1.6,1.0%,35.5%,120677,848.41
2025-03-19,唐探1900,上映50天,35.27亿,1.6,1.5%,10.5%,35829,243.81
2025-03-19,疾速追杀4,上映6天,3039.9万,1.4,1.1%,10.0%,33962,187.46
2025-03-19,天堂旅行团,上映12天,5285.9万,1.1,1.1%,9.8%,33544,148.08
2025-03-19,还有明天,上映12天,3380.5万,1.5,1.4%,4.1%,14087,81.94
2025-03-19,真爱营业,上映5天,833.3万,0.9,1.0%,5.5%,18872,60.62
2025-03-20,哪吒之魔童闹海,上映51天,148.99亿,1.5,1.0%,34.7%,119077,791.43
2025-03-20,唐探1900,上映51天,35.29亿,1.5,1.4%,10.4%,35798,221.49
2025-03-20,疾速追杀4,上映7天,3209.1万,1.3,1.0%,9.6%,32924,169.14
2025-03-20,天堂旅行团,上映13天,5429.3万,1.1,1.0%,9.6%,32984,143.35
2025-03-20,还有明天,上映13天,3453.6万,1.3,1.3%,4.0%,13701,73.02
2025-03-20,真爱营业,上映6天,884.9万,0.9,0.9%,5.1%,17774,51.68
2025-03-21,哪吒之魔童闹海,上映52天,149.14亿,2.9,1.9%,32.7%,119199,1504.95
2025-03-21,倩女幽魂,,314.9万,3.0,2.9%,7.2%,26529,305.02
2025-03-21,唐探1900,上映52天,35.32亿,2.1,1.9%,9.5%,34670,298.45
2025-03-21,疾速追杀4,上映8天,3399.8万,1.9,1.5%,6.9%,25195,190.70
2025-03-21,白雪公主,上映首日,185.7万,1.3,1.2%,9.5%,34650,185.11
2025-03-21,天堂旅行团,上映14天,5602.6万,1.5,1.5%,7.9%,28753,173.39
2025-03-22,哪吒之魔童闹海,上映53天,149.56亿,7.6,4.9%,30.1%,128216,4199.50
2025-03-22,怒水西流,上映首日,808.9万,5.5,5.5%,10.5%,44973,804.71
2025-03-22,我会好好的,上映首日,957.4万,3.4,3.1%,11.9%,50875,678.23
2025-03-22,唐探1900,上映53天,35.38亿,5.1,4.8%,6.8%,29190,617.60
2025-03-22,倩女幽魂,,724.5万,2.4,2.4%,10.3%,44223,409.58
2025-03-22,白雪公主,上映2天,467.8万,2.4,2.1%,6.9%,29454,282.12
2025-03-23,哪吒之魔童闹海,上映54天,149.84亿,5.2,3.3%,31.0%,128585,2870.46
2025-03-23,怒水西流,上映2天,1417.1万,4.1,4.0%,10.9%,45115,608.21
2025-03-23,唐探1900,上映54天,35.43亿,3.5,3.3%,7.5%,31341,460.01
2025-03-23,我会好好的,上映2天,1364.4万,2.1,1.9%,11.5%,47895,407.03
2025-03-23,倩女幽魂,,1023.6万,2.3,2.3%,8.0%,33103,299.05
2025-03-23,疾速追杀4,上映10天,3866.7万,2.9,2.3%,3.8%,15868,191.88
