日期,电影名称,上映时间,票房,场均人次,上座率,排片率,场次,票房数
2025-03-01,哪吒之魔童闹海,上映32天,141.46亿,23.7,16.7%,55.2%,225367,23437.92
2025-03-01,唐探1900,上映32天,34.14亿,9.9,10.1%,13.3%,54372,2291.36
2025-03-01,熊出没·重启未来,上映32天,7.75亿,7.1,7.6%,5.9%,24382,698.15
2025-03-01,诡才之道,上映8天,2562.2万,7.7,8.2%,3.7%,15150,475.76
2025-03-01,封神第二部：战火西岐,上映32天,12.08亿,5.9,6.9%,3.7%,15272,417.04
2025-03-01,初步举证,上映2天,512.5万,6.8,7.1%,2.6%,10632,289.86
2025-03-02,哪吒之魔童闹海,上映33天,142.87亿,14.4,10.0%,55.2%,221673,14091.30
2025-03-02,唐探1900,上映33天,34.30亿,6.7,6.8%,13.7%,55128,1572.47
2025-03-02,熊出没·重启未来,上映33天,7.81亿,5.7,6.1%,6.2%,24931,575.91
2025-03-02,诡才之道,上映9天,2917.4万,5.8,6.2%,3.7%,15073,355.12
2025-03-02,封神第二部：战火西岐,上映33天,12.11亿,4.2,4.9%,3.9%,16003,302.07
2025-03-02,初步举证,上映3天,781.3万,6.1,6.4%,2.7%,11055,268.87
2025-03-03,哪吒之魔童闹海,上映34天,143.15亿,3.4,2.3%,53.1%,186621,2813.10
2025-03-03,唐探1900,上映34天,34.36亿,2.6,2.5%,15.1%,53096,580.41
2025-03-03,您的声音,上映14天,5317.2万,6.8,6.8%,2.6%,9232,265.20
2025-03-03,封神第二部：战火西岐,上映34天,12.13亿,2.6,2.9%,5.1%,18037,208.93
2025-03-03,诡才之道,上映10天,3056.6万,2.1,2.2%,4.6%,16446,139.20
2025-03-03,初步举证,上映4天,912.6万,2.8,2.9%,3.3%,11678,131.29
2025-03-04,哪吒之魔童闹海,上映35天,143.40亿,3.0,2.1%,52.5%,182797,2466.19
2025-03-04,唐探1900,上映35天,34.42亿,2.5,2.5%,15.3%,53269,562.42
2025-03-04,您的声音,上映15天,5605.9万,16.0,17.1%,1.2%,4266,288.66
2025-03-04,初步举证,上映5天,1073.6万,3.2,3.3%,3.6%,12626,160.94
2025-03-04,诡才之道,上映11天,3184.6万,2.0,2.0%,4.7%,16608,128.02
2025-03-04,封神第二部：战火西岐,上映35天,12.14亿,1.5,1.7%,5.2%,18271,122.40
2025-03-05,哪吒之魔童闹海,上映36天,143.63亿,2.9,2.0%,51.9%,179056,2290.98
2025-03-05,唐探1900,上映36天,34.47亿,2.4,2.4%,15.4%,53343,543.83
2025-03-05,您的声音,上映16天,5869.0万,18.9,20.3%,0.9%,3288,263.13
2025-03-05,初步举证,上映6天,1255.4万,3.3,3.3%,4.0%,13822,181.80
2025-03-05,诡才之道,上映12天,3303.0万,1.8,1.8%,4.8%,16723,118.42
2025-03-05,封神第二部：战火西岐,上映36天,12.15亿,1.3,1.5%,5.3%,18398,104.00
2025-03-06,哪吒之魔童闹海,上映37天,143.86亿,2.9,2.0%,51.3%,177144,2278.85
2025-03-06,唐探1900,上映37天,34.52亿,2.3,2.3%,15.4%,53243,520.81
2025-03-06,您的声音,上映17天,6132.6万,20.5,22.6%,0.8%,3044,263.61
2025-03-06,初步举证,上映7天,1432.1万,3.1,3.1%,4.1%,14405,176.67
2025-03-06,诡才之道,上映13天,3404.6万,1.6,1.6%,4.7%,16386,101.54
2025-03-06,封神第二部：战火西岐,上映37天,12.16亿,1.2,1.4%,5.2%,18014,93.28
2025-03-07,哪吒之魔童闹海,上映38天,144.42亿,7.7,5.4%,46.8%,171048,5618.99
2025-03-07,唐探1900,上映38天,34.61亿,4.5,4.5%,12.9%,47158,874.06
2025-03-07,多幸运遇见你,上映首日,646.4万,6.6,7.1%,7.0%,25738,644.92
2025-03-07,编号17,上映首日,382.9万,3.1,2.8%,7.4%,27039,351.75
2025-03-07,您的声音,上映18天,6402.0万,27.9,30.2%,0.6%,2273,269.43
2025-03-07,初步举证,上映8天,1691.1万,5.9,5.8%,3.0%,11097,259.06
2025-03-08,哪吒之魔童闹海,上映39天,145.84亿,20.3,13.4%,36.1%,162980,14186.15
